2 Days in the Valley (1996)
Aeon Flux (2005)
All Over the Guy (2001)
Apocalypse Now (1979)
Apocalypse Now Redux (2001)
Black Rain (1989)
Blow Out (1981)
Blue Velvet (1986)
Bolero (1984)
Bowling for Columbine
Bruce Lee Superstar
Bullwhip (1958)
Burnt Offerings (1976)
Chaos (2008)
Chinese Hercules (1974)
City of Gods (Ciudad de Deus)
Commando 2: The Black Money Trail
De-Lovely (2004)
Desperate Hours (1990)
Dragon Eyes (2012)
Drunken Arts and Crippled Fist (1979)
"Drunken Monkey, Floating Snake (1979)"
El Gringo (2012)
The Fatal Flying Guillotine (1977)
Fighting of Shaolin Monks (1976)
Fire in the Sky (1993)
Fled (1996)
Gone Baby Gone
Hammett (1982)
The Hanoi Hilton (1987)
Heartbreakers (2001)
Ingenious (2009)
The Invincible Armour (1977)
Invincible Obsessed Fighter (1982)
Lady of Burlesque
The Lady Says No
Lady Windermere's Fan
Little Man Tate (1991)
Madame Behave
Magnolia
The Mandarin Mystery
Marihuana
The Mechanic (1972)
The Medicine Man
The Memphis Belle
Merry-Go-Round
Million Dollar Kid
Mind Over Murder
Miss Polly
Mission to Glory
The Monster Walks
The Most Dangerous Game
Mr. Mom (1983)
Mrs. Scooter
Murder at Midnight
Murder with Music
Night at the Follies
Nomads of the North
The Old Corral
One Exciting Night
One from the Heart
The Out-of-Towners (1999)
Outlaws of Sonora
Over the Top (1987)
Palooka
The Patchwork Girl of Oz
Payoff in the Pacific
The Philly Kid (2012)
